Anno,Athlete,count,Type
1996,Amarilys Savon,1,Bronze
1996,Ana Fidelia Quirós,1,Silver
1996,Ariel Hernandez Ascuy,1,Gold
1996,Antonio Scull Hernandez,1,Gold
1996,Arnaldo Mesa,1,Silver
1996,Antonio Pacheco,1,Gold
1996,Diadenis Luna,1,Bronze
1996,Dryulis Gonzalez,1,Gold
1996,Eduardo Paret,1,Gold
1996,Elvis Gregory,1,Bronze
1996,Estela Rodriguez Villanueva,1,Silver
1996,Eliecer Montes De Oca,1,Gold
1996,Filiberto Azcuy,1,Gold
1996,Félix Savón,1,Gold
1996,Henry Alberto Cadenas,1,Gold
1996,Héctor Vinent,1,Gold
1996,Idalmis Gato,1,Gold
1996,Israel Hernandez Plana,1,Bronze
1996,Juan Padilla,1,Gold
1996,Iván Trevejo,1,Silver
1996,Jose Antonio Estrada,1,Gold
1996,Jorge Fumero,1,Gold
1996,Juan Hernández Sierra,1,Silver
1996,Juan Luis Marén,1,Silver
1996,Jose Ariel Contreras,1,Gold
1996,Juan Manrique,1,Gold
1996,Legna Verdecia,1,Bronze
1996,Lazaro Vargas,1,Gold
1996,Lilia Izquierdo,1,Gold
1996,Luis Ulacia,1,Gold
1996,Magalys Carvajal,1,Gold
1996,Maikro Romero,1,Gold
1996,Marlenis Costa,1,Gold
1996,Miguel Caldes,1,Gold
1996,Neisser Bent,1,Bronze
1996,Omar Ajete,1,Gold
1996,Orestes Kindelan,1,Gold
1996,Pablo Lara,1,Gold
1996,Osmany Romero,1,Gold
1996,Regla Maritza Bell,1,Gold
1996,Rey Isaac,1,Gold
1996,Rolando Samuel Tucker Leon,1,Bronze
1996,Rodolfo Falcon Cabrera,1,Silver
1996,Pedro Luis Lazo Iglesias,1,Gold
1996,Yoelbi Quesada,1,Bronze
1996,Yumilka Ruiz Luaces,1,Gold
2000,Alejandrina Luis,1,Gold
2000,Alexis Rodríguez,1,Bronze
2000,Antonio Pacheco,1,Silver
2000,Angel Valodia Matos,1,Gold
2000,Ana Ibis Fernandez,1,Gold
2000,Anier García,1,Gold
2000,Antonio Scull Hernandez,1,Silver
2000,Ariel Pestano,1,Silver
2000,Carlos Pedroso,1,Bronze
2000,Daima Mayelis Beltrán,1,Silver
2000,Danel Castro,1,Silver
2000,Diógenes Luna,1,Bronze
2000,Dryulis Gonzalez,1,Silver
2000,Filiberto Azcuy,1,Gold
2000,Fredy Mayola,1,Bronze
2000,Félix Savón,1,Gold
2000,Gabriel Pierre,1,Silver
2000,Guillermo Rigondeaux Ortiz,1,Gold
2000,German Mesa Fresneda,1,Silver
2000,Ivan Trevejo,1,Bronze
2000,Iván García,1,Bronze
2000,Ivan Pedroso,1,Gold
2000,Ibrahim Rojas Blanco,1,Silver
2000,Javier Sotomayor,1,Silver
2000,Javier Mendez,1,Silver
2000,Jorge Gutiérrez,1,Gold
2000,José Ángel César,1,Bronze
2000,José Ibar,1,Silver
2000,Jose Ariel Contreras,1,Silver
2000,Juan Manrique,1,Silver
2000,Juan Luis Marén,1,Silver
2000,Lazaro Rivas Scull,1,Silver
2000,Lazaro Valle,1,Silver
2000,Ledys Frank Balceiro,1,Silver
2000,Legna Verdecia,1,Gold
2000,Leobaldo Pereira,1,Silver
2000,Luis Alberto Pérez-Rionda,1,Bronze
2000,Maels Rodriguez,1,Silver
2000,Maikro Romero,1,Bronze
2000,Manolo Ramos Poulot,1,Bronze
2000,Mario Cesar Kindelan Mesa,1,Gold
2000,Marlenis Costa,1,Gold
2000,Mirka Francia,1,Gold
2000,Miguel Caldes,1,Silver
2000,Nelson Loyola,1,Bronze
2000,NorrgeLuis Vera Peralta,1,Silver
2000,Osleidys Menéndez,1,Bronze
2000,Omar Ajete,1,Silver
2000,Oscar Macias,1,Silver
2000,Orestes Kindelan,1,Silver
2000,Omar Linares,1,Silver
,,,
2000,Pedro Luis Lazo Iglesias,1,Silver
2000,Regla Torres ,1,Gold
2000,Regla Maritza Bell,1,Gold
2000,Sibelis Veranes,1,Gold
2000,Taismary Aguero,1,Gold
2000,Urbia Melendez Rodriguez,1,Silver
2000,Yasser Gomez,1,Silver
2000,Yobal Duenas,1,Silver
2000,Yoel Garcia Luis,1,Silver
2000,Yoel Romero,1,Silver
2000,Yovany Aragon,1,Silver
